Name,Anzucht,Art,Bestand,Einheit,Kategorie,URL
Azur Star,15. Januar 2025 → 15. Juli 2025,violett,"0,42",g,Kohlrabi,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/kohl/kohlrabi/azur-star-g227
Superschmelz,15. Mai 2025 → 15. Juni 2025,weiß,"1,5",g,Kohlrabi,Finest Garden
Mostruosa di New York,1. Februar 2025 → 28. Februar 2025,weiß,"1,84",g,Aubergine,Semillas Batlle
Lech F1,15. Januar 2025 → 15. Juli 2025,weiß,0,g,Kohlrabi,https://saatgut-dillmann.de/produkt/kohlrabi-lech-f1/
Ruca,1. März 2025 → 31. Juli 2025,Rauke,"19,27",g,Salat sonstige,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/rucola/ruca-salatrauke-g480
Violetta di Firenze,1. Februar 2025 → 28. Februar 2025,violett,50,K,Aubergine,Sanrival
Fridolin,15. Januar 2025 → 15. Juli 2025,weiß,0,g,Kohlrabi,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/kohl/kohlrabi/fridolin-g730
Antar F1,1. Februar 2025 → 28. Februar 2025,violett,60,K,Aubergine,https://www.dehner.de/de/de/product/dehner-samen-aubergine-antar-X000627851/?categoryId=-s-1108
Granat,1. Februar 2025 → 30. April 2025,rot,"0,87",g,Kohl,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/kohl/rotkohl/granat-g209
Macun,1. Mai 2025 → 31. Mai 2025,Chicoree,"0,47",g,Salat sonstige,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/chicoree/macun-g652
Orinoko,15. Januar 2025 → 15. Juli 2025,weiß,0,g,Kohlrabi,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/kohl/kohlrabi/orinoko-g231
Enrico,15. Januar 2025 → 30. April 2025,weiß,"0,83",g,Kohlrabi,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/kohl/kohlrabi/enrico-g729
Resima F1,1. Februar 2025 → 30. April 2025,rot,30,K,Kohl,https://saatgut-dillmann.de/produkt/rotkohl-resima-f1/
Filderkraut,1. März 2025 → 30. April 2025,spitz,"1,23",g,Kohl,https://www.dehner.de/de/de/product/dehner-samen-weisskohl-filderkraut-X000621441/
Odysseus,1. Februar 2025 → 15. März 2025,,100,K,Blumenkohl,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/kohl/blumenkohl/odysseus-g199
Breedblad Volhart Winger,15. Juni 2025 → 15. Juli 2025,Endivien,1,g,Salat sonstige,Kiepenkerl
Simona,1. März 2025 → 15. Juni 2025,Steck,"0,98",g,Kohl,https://www.bingenheimersaatgut.de/de/bio-saatgut/gemuese/rueben/kohlruebe/simona-g796
Snowball X,1. April 2025 → 15. Juni 2025,,100,K,Blumenkohl,Garten Magie
Merlin F1,1. März 2025 → 15. April 2025,Schlange,0,K,Gurken,https://saatgut-dillmann.de/produkt/mini-schlangengurke-merlin-f1/
